,employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
0,1,51,No,non_travel,2015.72,None,6,3,None,1,male,251.96724058965458,3,5, research director ,3,None,16280.83,42330.17,7,no,13,3.0,3,full time,0,30.03723191513321,5,3.0,20,None,15,15,1972,195370.0,yes
1,2,52,No,non_travel,2063.39,None,1,4,life sciences,3,male,257.9258115758397,2,5, manager ,3,None,17113.563042659272,43331.17,0,no,14,3.0,1,part time,1,34.0,5,3.0,33,None,11,9,1971,199990.0,yes
2,3,42,No,travel_rarely,1984.25, research & development ,4,2,technical degree,3,male,248.03335179553022,3,5, manager ,4,married,16464.849112887667,41669.33,1,no,11,3.0,4,part time,0,22.0,3,2.8023257531821675,22,None,11,15,1981,192320.0,yes
3,4,47,No,travel_rarely,1771.4,None,2,4,medical,1,female,221.42699659725116,3,4, research director ,3,married,14307.5,37199.5,3,no,19,3.0,2,full time,2,26.67067391701955,2,2.7911867755880317,20,None,5,6,1976,171690.0,no
4,5,46,No,non_travel,1582.77,None,3,3,technical degree,1,female,103.46145532981448,4,4, sales executive ,1,divorced,12783.92,33238.2,2,no,12,3.0,4,part time,1,11.329229902796044,5,3.0,19,None,2,8,1977,80223.04338101418,no
5,6,48,No,non_travel,1771.92, research & development ,22,3,medical,4,female,107.52697243503329,3,4, manager ,4,None,14311.67,37210.33,3,no,11,3.0,2,part time,1,11.292475377479482,3,3.0,22,None,4,7,1975,83375.33157949109,yes
6,7,59,No,non_travel,1032.49,None,25,3,life sciences,1,female,129.0610419896733,3,3, sales executive ,1,None,8339.32,21682.23,7,no,11,3.0,4,part time,0,28.0,3,2.0,21,None,7,9,1964,100071.84,yes
7,8,42,No,travel_rarely,556.26,None,1,1,None,2,male,69.53,3,2, sales executive ,3,married,4758.069522761268,11681.39,1,no,25,4.0,3,part time,0,20.0,3,3.0,20,None,11,6,1981,53914.11,no
8,9,41,No,non_travel,1712.18,None,2,5,None,2,female,214.02393852701567,3,4, manager ,1,married,13829.17,35955.83,7,no,16,3.0,2,full time,1,22.0,2,3.0,18,None,11,8,1982,165950.0,yes
9,10,41,No,travel_frequently,1973.98,None,9,3,None,1,male,152.23667135775014,3,5, research director ,3,None,15943.72,41453.67,2,no,17,3.0,2,part time,1,21.0,2,4.0,18,None,0,11,1982,118041.77162964325,no
10,11,41,No,non_travel,2060.71,None,7,1,None,2,female,257.5903703872995,1,5, research director ,3,None,16644.17,43274.83,1,no,22,4.0,2,full time,2,30.657088696840745,3,3.0,21,None,5,10,1982,199730.0,no
11,12,56,No,travel_rarely,1382.75,None,23,3,life sciences,4,male,172.84,3,4, manufacturing director ,2,married,11533.625438692885,29037.67,4,yes,12,3.138741645098279,1,full time,1,33.0,0,3.0,19,None,15,9,1967,134020.0,no
12,13,38,No,non_travel,1362.52,None,10,3,medical,2,female,170.31593848214567,1,3, research director ,3,married,11367.880767299062,28613.0,3,no,12,3.0,1,full time,1,20.89742354906455,3,3.0,18,None,1,11,1985,132060.0,yes
13,14,41,Yes,travel_rarely,2016.55,None,12,3,None,2,female,252.0704141031594,3,5, research director ,3,married,16729.569118926967,42347.5,1,no,12,3.0,4,full time,0,29.879153979714193,0,3.0,22,None,15,8,1982,195450.0,no
14,15,55,No,non_travel,1973.98,None,14,4,medical,3,male,111.87004374354083,4,5, research director ,2,single,15943.72,41453.67,8,no,11,3.0,4,part time,0,11.253211608510158,3,3.0,24,None,2,15,1968,86742.8275404299,yes
15,16,40,No,travel_rarely,1861.37,None,2,4,None,3,female,232.67323580520724,3,5, manager ,3,None,15034.17,39088.83,0,no,14,3.0,4,full time,0,27.910383167101177,2,3.0,20,None,1,12,1983,180410.0,no
16,17,58,Yes,travel_rarely,1985.7,None,2,4,None,4,male,248.2145874766532,3,5, research director ,2,single,16038.33,41699.67,7,yes,12,3.0,4,full time,0,40.0,2,3.0,31,None,13,8,1965,192460.0,no
17,18,46,No,travel_rarely,1582.77,None,2,3,None,3,female,169.13640235445587,3,4, manager ,1,None,12783.92,33238.2,8,no,23,4.0,1,part time,0,28.0,2,3.0,26,None,15,9,1977,131145.1935065139,no
18,19,35,No,non_travel,556.26,None,13,5,life sciences,2,male,81.39794522623886,4,2, research scientist ,1,married,4492.84,11681.39,1,no,11,3.0,4,part time,0,11.528696248573562,2,3.0,16,None,1,10,1988,63115.61504743339,no
19,20,40,No,travel_rarely,1032.49,None,15,3,life sciences,1,female,118.33794081980002,2,3, manufacturing director ,3,None,8339.32,21682.23,1,no,13,3.0,4,part time,2,18.0,2,2.7678562030011444,18,None,14,12,1983,91757.71576217408,yes
20,21,45,No,non_travel,1108.92, research & development ,1,1,None,3,male,138.61524954861483,2,3, healthcare representative ,3,None,8956.67,23287.33,3,no,23,4.0,4,full time,1,25.0,3,2.0,23,None,14,4,1978,107480.0,no
21,22,33,No,non_travel,1032.49,None,1,2,life sciences,1,female,129.06055884503058,3,3, research director ,4,single,8662.244668645359,21682.23,1,yes,12,3.0,3,part time,0,15.0,1,3.0,15,None,8,12,1990,100071.84,yes
22,23,36,No,non_travel,1032.49,None,8,3,None,3,female,129.0606359194211,3,3, healthcare representative ,3,divorced,8662.238384624558,21682.23,1,no,13,3.142376353019714,2,part time,3,17.0,2,3.0,17,None,12,8,1987,100071.84,yes
23,24,47,No,non_travel,1728.38,None,2,2,other,3,female,216.05,3,4, manager ,4,married,14367.178363797353,36296.0,1,no,11,3.0,3,full time,1,25.92176104002463,3,2.0,26,None,3,0,1976,167520.0,no
24,25,36,No,travel_rarely,639.79,None,42,2,life sciences,42,male,79.97,3,2, sales executive ,4,None,5167.5,13435.5,1,no,14,3.0,4,full time,1,18.0,1,2.75446297541678,18,None,4,11,1987,62010.0,yes
25,26,35,No,non_travel,1032.49,None,9,3,life sciences,4,female,129.06,2,3, manufacturing director ,3,married,8662.238394323067,21682.23,1,yes,20,4.0,2,part time,1,17.0,2,3.0,17,None,5,15,1988,100071.84,no
26,27,52,Yes,non_travel,2047.5,None,2,1,None,1,female,255.93963450783576,1,5, manager ,4,married,16983.308359926712,42997.5,1,no,15,3.0,4,full time,1,33.0,3,3.0,32,None,6,9,1971,198450.0,yes
27,28,36,No,non_travel,556.26,None,2,4,life sciences,3,female,69.531006867936,3,2, manufacturing director ,2,single,4492.84,11681.39,9,yes,11,3.0,4,part time,0,18.0,2,3.0,16,None,5,12,1987,53914.11,no
28,29,33,No,travel_rarely,556.26,None,28,4,life sciences,2,male,69.53,3,2, laboratory technician ,3,married,4492.84,11681.39,1,no,12,3.0,2,part time,1,15.0,3,3.0,15,None,5,7,1990,53914.11,yes
29,30,34,No,non_travel,412.8, sales ,10,3,life sciences,4,male,51.59875131498747,3,2, sales executive ,3,None,3334.17,8668.83,1,yes,14,3.0,3,part time,1,15.0,3,3.0,15,None,0,7,1989,40010.0,yes
30,31,41,No,non_travel,1077.87, sales ,37,1,None,37,female,134.73295220079984,3,3, sales executive ,3,divorced,8705.83,22635.17,0,no,13,3.0,4,full time,1,17.114072874679124,3,4.0,22,None,13,5,1982,104470.0,yes
31,32,47,No,non_travel,1032.49, research & development ,25,3,medical,1,male,145.18943337563866,3,3, healthcare representative ,3,None,8339.32,21682.23,2,no,23,4.0,2,part time,0,25.0,3,3.0,17,None,12,11,1976,112577.45076637137,yes
